fe_idx	fe_device_idx	fe_user_idx	fe_event_type	fe_event_value	fe_raw_data	fe_analysis_result	fe_timestamp
36360	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.7226907391821555,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.7226907391821555,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:49
36361	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.003272167821166,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.003272167821166,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:51
36362	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5402687793798009,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5402687793798009,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:54
36363	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.713499870088697,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.713499870088697,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:57
36364	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.453879405125718,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.453879405125718,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:59
36365	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.026366751916299,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.026366751916299,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:59
36366	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5413628753361195,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5413628753361195,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:02
36367	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.764894802870856,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.764894802870856,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:05
36368	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.434364190004374,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.434364190004374,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:07
36369	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.024853583034144,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.024853583034144,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:07
